2026-06-15 16:17:44 | INFO | elastic_transport.transport | PUT https://192.168.1.125:9200/_bulk?refresh=false [status:200 duration:0.474s]
2026-06-15 16:17:44 | INFO | elastic_transport.transport | POST https://192.168.1.125:9200/_search/scroll [status:200 duration:0.267s]
2026-06-15 16:17:52 | INFO | elastic_transport.transport | PUT https://192.168.1.125:9200/_bulk?refresh=false [status:200 duration:0.553s]
2026-06-15 16:17:52 | INFO | elastic_transport.transport | POST https://192.168.1.125:9200/_search/scroll [status:200 duration:0.266s]
2026-06-15 16:18:00 | INFO | elastic_transport.transport | PUT https://192.168.1.125:9200/_bulk?refresh=false [status:200 duration:0.545s]
2026-06-15 16:18:01 | INFO | elastic_transport.transport | POST https://192.168.1.125:9200/_search/scroll [status:200 duration:0.265s]
2026-06-15 16:18:08 | INFO | elastic_transport.transport | PUT https://192.168.1.125:9200/_bulk?refresh=false [status:200 duration:0.475s]
2026-06-15 16:18:09 | INFO | elastic_transport.transport | POST https://192.168.1.125:9200/_search/scroll [status:200 duration:0.266s]
2026-06-15 16:18:16 | INFO | elastic_transport.transport | PUT https://192.168.1.125:9200/_bulk?refresh=false [status:200 duration:0.482s]
2026-06-15 16:18:16 | INFO | elastic_transport.transport | POST https://192.168.1.125:9200/_search/scroll [status:200 duration:0.179s]
2026-06-15 16:18:24 | INFO | elastic_transport.transport | PUT https://192.168.1.125:9200/_bulk?refresh=false [status:200 duration:0.486s]
2026-06-15 16:18:24 | INFO | elastic_transport.transport | POST https://192.168.1.125:9200/_search/scroll [status:200 duration:0.267s]
2026-06-15 16:18:32 | INFO | elastic_transport.transport | PUT https://192.168.1.125:9200/_bulk?refresh=false [status:200 duration:0.541s]
2026-06-15 16:18:32 | INFO | elastic_transport.transport | POST https://192.168.1.125:9200/_search/scroll [status:200 duration:0.177s]
2026-06-15 16:18:39 | INFO | elastic_transport.transport | PUT https://192.168.1.125:9200/_bulk?refresh=false [status:200 duration:0.476s]
2026-06-15 16:18:40 | INFO | elastic_transport.transport | POST https://192.168.1.125:9200/_search/scroll [status:200 duration:0.183s]
2026-06-15 16:18:47 | INFO | elastic_transport.transport | PUT https://192.168.1.125:9200/_bulk?refresh=false [status:200 duration:0.470s]
2026-06-15 16:18:48 | INFO | elastic_transport.transport | POST https://192.168.1.125:9200/_search/scroll [status:200 duration:0.266s]
2026-06-15 16:18:55 | INFO | elastic_transport.transport | PUT https://192.168.1.125:9200/_bulk?refresh=false [status:200 duration:0.503s]
2026-06-15 16:18:56 | INFO | elastic_transport.transport | POST https://192.168.1.125:9200/_search/scroll [status:200 duration:0.266s]
2026-06-15 16:19:04 | INFO | elastic_transport.transport | PUT https://192.168.1.125:9200/_bulk?refresh=false [status:200 duration:0.545s]
2026-06-15 16:19:04 | INFO | elastic_transport.transport | POST https://192.168.1.125:9200/_search/scroll [status:200 duration:0.179s]
2026-06-15 16:19:11 | INFO | elastic_transport.transport | PUT https://192.168.1.125:9200/_bulk?refresh=false [status:200 duration:0.475s]
2026-06-15 16:19:11 | INFO | elastic_transport.transport | POST https://192.168.1.125:9200/_search/scroll [status:200 duration:0.179s]
2026-06-15 16:19:19 | INFO | elastic_transport.transport | PUT https://192.168.1.125:9200/_bulk?refresh=false [status:200 duration:0.473s]
2026-06-15 16:19:19 | INFO | elastic_transport.transport | POST https://192.168.1.125:9200/_search/scroll [status:200 duration:0.267s]
2026-06-15 16:19:27 | INFO | elastic_transport.transport | PUT https://192.168.1.125:9200/_bulk?refresh=false [status:200 duration:0.476s]
2026-06-15 16:19:27 | INFO | elastic_transport.transport | POST https://192.168.1.125:9200/_search/scroll [status:200 duration:0.266s]
2026-06-15 16:19:35 | INFO | elastic_transport.transport | PUT https://192.168.1.125:9200/_bulk?refresh=false [status:200 duration:0.549s]
2026-06-15 16:19:36 | INFO | elastic_transport.transport | POST https://192.168.1.125:9200/_search/scroll [status:200 duration:0.265s]
2026-06-15 16:19:43 | INFO | elastic_transport.transport | PUT https://192.168.1.125:9200/_bulk?refresh=false [status:200 duration:0.471s]
2026-06-15 16:19:43 | INFO | elastic_transport.transport | POST https://192.168.1.125:9200/_search/scroll [status:200 duration:0.266s]
2026-06-15 16:19:51 | INFO | elastic_transport.transport | PUT https://192.168.1.125:9200/_bulk?refresh=false [status:200 duration:0.498s]
2026-06-15 16:19:52 | INFO | elastic_transport.transport | POST https://192.168.1.125:9200/_search/scroll [status:200 duration:0.266s]
2026-06-15 16:20:00 | INFO | elastic_transport.transport | PUT https://192.168.1.125:9200/_bulk?refresh=false [status:200 duration:0.544s]
2026-06-15 16:20:00 | INFO | elastic_transport.transport | POST https://192.168.1.125:9200/_search/scroll [status:200 duration:0.266s]
2026-06-15 16:20:07 | INFO | elastic_transport.transport | PUT https://192.168.1.125:9200/_bulk?refresh=false [status:200 duration:0.474s]
2026-06-15 16:20:07 | INFO | elastic_transport.transport | POST https://192.168.1.125:9200/_search/scroll [status:200 duration:0.263s]
2026-06-15 16:20:15 | INFO | elastic_transport.transport | PUT https://192.168.1.125:9200/_bulk?refresh=false [status:200 duration:0.477s]
2026-06-15 16:20:15 | INFO | elastic_transport.transport | POST https://192.168.1.125:9200/_search/scroll [status:200 duration:0.267s]
2026-06-15 16:20:23 | INFO | elastic_transport.transport | PUT https://192.168.1.125:9200/_bulk?refresh=false [status:200 duration:0.476s]
2026-06-15 16:20:23 | INFO | elastic_transport.transport | POST https://192.168.1.125:9200/_search/scroll [status:200 duration:0.265s]
2026-06-15 16:20:31 | INFO | elastic_transport.transport | PUT https://192.168.1.125:9200/_bulk?refresh=false [status:200 duration:0.522s]
2026-06-15 16:20:31 | INFO | elastic_transport.transport | POST https://192.168.1.125:9200/_search/scroll [status:200 duration:0.266s]
2026-06-15 16:20:39 | INFO | elastic_transport.transport | PUT https://192.168.1.125:9200/_bulk?refresh=false [status:200 duration:0.476s]
2026-06-15 16:20:39 | INFO | elastic_transport.transport | POST https://192.168.1.125:9200/_search/scroll [status:200 duration:0.270s]
2026-06-15 16:20:47 | INFO | elastic_transport.transport | PUT https://192.168.1.125:9200/_bulk?refresh=false [status:200 duration:0.515s]
2026-06-15 16:20:47 | INFO | elastic_transport.transport | POST https://192.168.1.125:9200/_search/scroll [status:200 duration:0.195s]
2026-06-15 16:20:55 | INFO | elastic_transport.transport | PUT https://192.168.1.125:9200/_bulk?refresh=false [status:200 duration:0.487s]
2026-06-15 16:20:55 | INFO | elastic_transport.transport | POST https://192.168.1.125:9200/_search/scroll [status:200 duration:0.274s]
2026-06-15 16:21:02 | INFO | elastic_transport.transport | PUT https://192.168.1.125:9200/_bulk?refresh=false [status:200 duration:0.507s]
2026-06-15 16:21:03 | INFO | elastic_transport.transport | POST https://192.168.1.125:9200/_search/scroll [status:200 duration:0.271s]
2026-06-15 16:21:10 | INFO | elastic_transport.transport | PUT https://192.168.1.125:9200/_bulk?refresh=false [status:200 duration:0.494s]
2026-06-15 16:21:11 | INFO | elastic_transport.transport | POST https://192.168.1.125:9200/_search/scroll [status:200 duration:0.273s]
2026-06-15 16:21:18 | INFO | elastic_transport.transport | PUT https://192.168.1.125:9200/_bulk?refresh=false [status:200 duration:0.484s]
2026-06-15 16:21:19 | INFO | elastic_transport.transport | POST https://192.168.1.125:9200/_search/scroll [status:200 duration:0.272s]
2026-06-15 16:21:26 | INFO | elastic_transport.transport | PUT https://192.168.1.125:9200/_bulk?refresh=false [status:200 duration:0.493s]
2026-06-15 16:21:26 | INFO | elastic_transport.transport | POST https://192.168.1.125:9200/_search/scroll [status:200 duration:0.184s]
2026-06-15 16:21:34 | INFO | elastic_transport.transport | PUT https://192.168.1.125:9200/_bulk?refresh=false [status:200 duration:0.504s]
2026-06-15 16:21:34 | INFO | elastic_transport.transport | POST https://192.168.1.125:9200/_search/scroll [status:200 duration:0.183s]
